type,location,restaurant list
Food Court,Whitefield,"['Nalaas Aapakadai', 'Tuk-Tuk', 'Bao & Grills', 'Nagas', ""Naga's"", 'Mad Over Donuts', 'Corner House Ice Cream', 'Biryani Kitchen', 'WOW! Momo', 'Purani Dehli', 'Squeez Juice Bar']"
"Food Court, Quick Bites",Koramangala 7th Block,['Coconadu']
"Food Court, Quick Bites",Marathahalli,['Pizza Hut']
"Food Court, Quick Bites",Whitefield,"['Hunan Express', 'KFC']"
Food Truck,East Bangalore,['S.W.A.T Food Truck']
Food Truck,South Bangalore,"['As On Fire', 'Om Nom Thai', 'Belly Squad Food Truck']"
Kiosk,Bannerghatta Road,['Waffle Walle']
Kiosk,Bellandur,['Chicken Man']
Kiosk,Electronic City,['Just Shawarma']
Kiosk,HSR,['EggFactor - Street House']
Kiosk,Koramangala 5th Block,['Tarbouche']
Kiosk,Koramangala 6th Block,['Chaat Street']
Kiosk,Koramangala 7th Block,['Baskin Robbins']
Kiosk,Lavelle Road,['Pizza Stop']
Kiosk,MG Road,['The Brekkie Shop']
Lounge,Church Street,['Hoppipola']
Lounge,Electronic City,['The Terminus - The Oterra']
Lounge,HSR,['Vanilla Sky']
Lounge,Indiranagar,"['Bootlegger', 'Bflat Bar']"
Lounge,Jayanagar,['The Lounge - Eden Park Restaurants']
Lounge,Kalyan Nagar,['Hoppipola']
Lounge,Koramangala 5th Block,"['Drava', 'The Flying Trapeze']"
Lounge,MG Road,['The 13th Floor']
Lounge,Marathahalli,['Malties - Radisson Blu']
Lounge,Race Course Road,['Blue Bar - The Taj West End']
Lounge,Residency Road,"['The Ritz-Carlton Bar - The Ritz-Carlton', 'Bang - The Ritz-Carlton']"
Lounge,Seshadripuram,['Sutra - The Lalit Ashok Bangalore']
Lounge,Ulsoor,['Liquid Lounge - Hyatt Centric MG Road']
"Lounge, Bar",HSR,['Lounge 189']
"Lounge, Bar",JP Nagar,['Flow - Terrace Bar & Grill']
"Lounge, Bar",Vasanth Nagar,['Hype - Shangri-La Hotel']
"Lounge, Bar",Whitefield,['Amoeba Sports Bar']
"Lounge, Casual Dining",Bellandur,['W XYZ Bar - Aloft Bengaluru Cessna Business Park']
"Lounge, Casual Dining",HSR,['Shift']
"Lounge, Casual Dining",Indiranagar,['LOFT38']
"Lounge, Casual Dining",Malleshwaram,['High Ultra Lounge']
"Lounge, Microbrewery",Koramangala 6th Block,['Barleyz']
Mess,BTM,"[""Jose's Mess"", ""Polamma's Mess""]"
Mess,Banaswadi,"['The Filter Coffee', 'Sri Durga Nellore Mess']"
Mess,Indiranagar,['Andal Mess']
Mess,Kammanahalli,['Sangam Mess']
Mess,Koramangala 5th Block,['Shree Thali']
Mess,Malleshwaram,['Iyer Mess']
Mess,Whitefield,['Abhiruchi Andhra Mess']
Microbrewery,Electronic City,['46 Ounces Brewgarden']
Microbrewery,Indiranagar,['Toit']
Microbrewery,JP Nagar,['The Pump House']
Microbrewery,Sarjapur Road,['Byg Brewski Brewing Company']
"Microbrewery, Bar",Koramangala 4th Block,"[""Myu Bar at Gilly's Redefined""]"
"Microbrewery, Casual Dining",Bannerghatta Road,['The Yellow Submarine']
"Microbrewery, Casual Dining",Brigade Road,['ShakesBierre']
"Microbrewery, Casual Dining",JP Nagar,"['Levitate Brewery and Kitchen', 'Brahma Brews']"
"Microbrewery, Casual Dining",Jayanagar,['Brew Meister']
"Microbrewery, Casual Dining",Kalyan Nagar,"['Wanderers', 'Float Brewery', 'Brewklyn Microbrewery']"
"Microbrewery, Casual Dining",Koramangala 4th Block,"[""The Terrace at Gilly's Redefined""]"
"Microbrewery, Casual Dining",Koramangala 5th Block,"['XOOX Brewmill', 'Simon Says Brew Works']"
"Microbrewery, Casual Dining",Koramangala 6th Block,['The Bier Library']
"Microbrewery, Casual Dining",Residency Road,['Alchemy - The Chancery Pavilion']
"Microbrewery, Casual Dining",Sahakara Nagar,['The Druid Garden']
"Microbrewery, Casual Dining",Sarjapur Road,"['THE RIG', 'La Casa Brewery And Kitchen']"
"Microbrewery, Lounge",Residency Road,['Bangalore Brew Works']
"Microbrewery, Pub",Indiranagar,['Vapour Pub & Brewery']
"Microbrewery, Pub",Marathahalli,['Brew and Barbeque - A Microbrewery Pub']
"Microbrewery, Pub",Sarjapur Road,['Vapour Brewpub and Diner']
"Microbrewery, Pub",Whitefield,"['Windmills Craftworks', 'Red Rhino', 'Biergarten', 'The Pallet']"
Pub,Banashankari,['Gustoes Beer House']
Pub,Bannerghatta Road,['Deja Vu Resto Bar']
Pub,Church Street,['Russh Gastropub']
Pub,HBR Layout,['FireHouse - Bar & Kitchen']
Pub,HSR,['Indigo X II P']
Pub,Indiranagar,"['Tippler', 'Blistering Barnacles', 'Monkey Bar']"
Pub,Jayanagar,['LIT Gastro Pub']
Pub,Koramangala 1st Block,['B-hive']
Pub,Koramangala 4th Block,"['1522 - The Pub', 'The Beer Cafe']"
Pub,Koramangala 5th Block,"[""What's In A Name"", 'Indigo XP']"
Pub,Malleshwaram,['The Beer Cafe']
Pub,Marathahalli,['The Boozy Griffin']
Pub,Residency Road,['Downtown']
Pub,Sarjapur Road,['Xtreme Sports Bar']
Pub,Whitefield,['The Beer Cafe']
"Pub, Bar",Koramangala 4th Block,['Cheers Pub Bar & Restro']
"Pub, Bar",Koramangala 5th Block,['Bulls N Bears - Bar Trade Xchange']
"Pub, Cafe",New BEL Road,['Hammered']
"Pub, Casual Dining",Basaveshwara Nagar,['Sloshed']
"Pub, Casual Dining",Brigade Road,['By Chance']
"Pub, Casual Dining",Brookefield,"[""Gilly's Restobar""]"
"Pub, Casual Dining",Electronic City,"['Fire Station', ""Gilly's Restobar""]"
"Pub, Casual Dining",JP Nagar,['Stories']
"Pub, Casual Dining",Kalyan Nagar,"[""Sherlock's Pub"", 'The Local']"
"Pub, Casual Dining",Koramangala 5th Block,"[""Sherlock's Pub"", ""Gilly's Restobar""]"
"Pub, Casual Dining",Koramangala 6th Block,"['The Local - Terrace Drinkery', 'Gorilla Barfare', 'The Local - Burger Bar']"
"Pub, Casual Dining",MG Road,"[""SkyDeck By Sherlock's""]"
"Pub, Casual Dining",Marathahalli,"['ANTIGRAVITY', 'Output Bengaluru']"
"Pub, Casual Dining",New BEL Road,"[""Gilly's Restobar""]"
"Pub, Microbrewery",Koramangala 4th Block,['Prost Brew Pub']
"Pub, Microbrewery",Koramangala 5th Block,['Biergarten']
"Pub, Microbrewery",Old Airport Road,['Big Pitcher']
"Pub, Microbrewery",Whitefield,"['The Biere Club', 'The Whitefield Arms Pub & Microbrewery']"
Quick Bites,BTM,"['Kannur Food Point', 'Swad Punjab Da', 'Gorbandh', 'Krishna Sagar', 'Faasos', 'Kesar Sweet Shop and Fast Food', 'Kalingas', 'Just Shawarma', 'Mojo Pizza - 2X Toppings', 'Anda Ka Funda', 'Namana Garden', ""Kapoor's Biriyani"", 'Hungry Lee', 'Kabab Magic', 'Litti Twist', 'Yum In My Tum', 'Paratha Plaza', ""So-Fat's Dosas"", ""Magix's Parattha Roll"", 'Tongue Twisters', 'Kairali', 'Eat N Drink', 'Pappu Chaiwalla', 'Bansuri Sweets', 'Fogg', 'Midnight Mania', 'Habitts', 'Roti Wala', 'Dum Biryani Hub', 'Funky Punjab', 'Apna Punjab', 'Udupi Gokul Cafe', 'Vyanjan', 'Chaatimes', 'Paratha Junction', 'KKR Foodies', 'KFC', 'Mahesh Friends Food Center', 'New Punjabi Hotel', 'Baba Ka Dhaba', 'Royal Biryani Kitchen', 'Tandoor Garden', 'The Biriyani Pedia', 'Sagar Fast Food', 'Pathaan Sir', 'Indori Chatorey', ""McDonald's"", 'Sri Vishnupriya', 'Zeeshan', 'The Shawarma Shop', 'Fillers', 'Ande Ka Funda']"
Quick Bites,Banashankari,"['Faasos', 'New Sagar Fast Food', 'Taaza Thindi', 'Matru Sagar', 'Utsav', 'KFC', 'Pizza Mane', 'Hotel Mangala', 'Sri Laxmi Venkateshwara Coffee Bar', 'Juicy Momos', 'The Biryani Cafe', 'Kavali', ""Iyer's Tiffin Centre"", 'SLV Swadishta', 'Chatar Patar', 'Messy Bowl', 'Mane Thindi', 'Janahaar', 'Ruchis Point', 'SLV Refreshment', 'Bengaluru Coffee House', 'Addhuri Udupi Bhojana', 'Pizza Stop', 'Foodiction']"
Quick Bites,Banaswadi,"['Sri Devi Sagar', 'Srinidhi Upachar', 'Donne Biryani Kuteera', 'Pooja Dosa Camp', 'Amigos Kitchen', 'Pizza Stop']"
Quick Bites,Bannerghatta Road,"['Kanteen The Eatery', 'Faasos', 'Just Shawarma', 'Krishna Kuteera', 'Panchami Garden', 'Oottupura Family Restaurant', 'KFC', 'Bangaliana', ""Shetty's Kitchen"", 'Pizza Hut', 'Burger King', 'Chefeana', 'Shuddh Desi Khana', 'Idly Pidly', 'Nellore Bhojanam', 'California Burrito', 'Cravings', ""McDonald's"", 'Bangalir Rannaghar', 'Purani Dilli By Anand Sweets', 'Ishta Cafe']"
Quick Bites,Basavanagudi,"['Cool Corner', 'Basavanagudi Mylari', 'Hotel Janatha', 'Udupi Sri Krishna Bhavan', ""Kollapuri's"", 'Cane-O-La', 'Energy Addaa', 'Sandwichwallas', 'Hari Super Sandwich', 'Mavalli Tiffin Room (MTR)', 'Kabab Magic', 'Burger King', 'The Chaat Shop', 'South Kitchen', 'Shree Venkateshwara North Karnataka Hotel', 'New Modern Hotel', 'Twiststick House', 'Karnataka Bhel House', 'Chaatimes', 'Mahalaxmi Tiffin Room', 'KFC', 'New Shanthi Sagar', 'Ice Thunder', 'Vidyarthi Bhavan', 'Harshi Super Sandwich', 'Upahara Darshini', ""McDonald's"", 'Kamat Bugle Rock', 'By 2 Coffee', ""Brahmin's Coffee Bar"", 'Kamat Minerva', 'Pizza Stop']"
Quick Bites,Basaveshwara Nagar,"[""Papanna's Biriyani"", 'Donne Biriyani Mane', ""McDonald's"", 'KFC', 'MouthFull Of Cake']"
Quick Bites,Bellandur,"['Faasos', ""Ammi's Biryani"", 'Punjabi Nukkad Pure Veg', 'Udupi Aatithya', 'Mumbai Xpress', 'Phulke Ghar Ke', 'Yummy Tummy', 'Homelicious Food', 'Parrattha Ssinghh', 'Tumbites', 'Deli Chats & Sweets', ""McDonald's"", 'The Kebab House', 'Udupi Ruchi', 'Goli Vada Pav No. 1', 'Biryani Kitchen']"
Quick Bites,Brigade Road,"['Hatti Kaapi', ""McDonald's"", 'Hotel Ramprasad', 'KFC']"
Quick Bites,Brookefield,"['Risalo Pizzeria', 'Real Fresh Dosa Corner', 'Tastybites.com', ""McDonald's"", 'Crunchie Corner', 'Mayura Sagar', 'Tall Blonde French', 'Litti House', 'KFC', 'Mayura Grand', 'Aaha', 'Rolls & Bowls', ""M.M.A. Kabab's & Biriyani Center""]"
Quick Bites,CV Raman Nagar,"[""Mother's Meal"", 'Subway', ""Punjabi's Food Corner"", 'Tiffun']"
Quick Bites,Church Street,"['The J', 'eat.fit', ""Vasudev Adiga's"", 'Mandarin Box', 'Indian Coffee House']"
Quick Bites,City Market,['Taj Restaurant']
Quick Bites,Commercial Street,"['Vishnu Sagar', ""McDonald's"", 'Anand Sweets and Savouries', 'Sagar Chats', 'Khan Saheb Grills and Rolls', 'Burger King']"
Quick Bites,Cunningham Road,['KFC']
Quick Bites,Domlur,"[""Rajan's Cafe"", 'Meat And Eat', 'Srinidhi Sagar Deluxe', 'Sri Krishna Sagar', 'Pizza Stop']"
Quick Bites,Ejipura,"['Punjabi Dhaba', 'Chapati House']"
Quick Bites,Electronic City,"[""McDonald's Play Place"", 'Faasos', ""Delhi's Essence"", 'Godavari Delights', 'The Daily', 'Parathe Wali Gali', 'Marmaris', 'Hyderabadi Spice', 'Hyderabad Magic', 'KFC', 'Ruchi Sagar', 'Pizza Hut', 'Sanjeevini Veg', 'Empire Restaurant', 'Pizza Republic', 'Pure Punjabi', 'Parampara - The Veg Kitchen', 'King', 'Sri Pillaiyar Bhavan', 'NY Pizza & Waffles', 'Pimento', 'Cafe Palnad', 'Sitara Veg Restaurant', 'Popular Burger', 'BIB - Breakfast in the Box', 'Kolkata Kitchen', 'Indian Food Court']"
Quick Bites,Frazer Town,"['Komala Refreshments', 'Faasos', 'Pathaan Sir', 'Masala Central', 'Subway', 'KFC', 'Oregano Pizzeria', ""The Mughal's"", 'Fanoos']"
Quick Bites,HSR,"['Asha Tiffins', 'Faasos', 'Just Shawarma', 'Sri Dalma', 'As On Fire', 'Davanagere Benne Dose', ""Ammi's Biryani"", 'Spicy Kitchen', 'The Rasaganga', 'The Mylapore Cafe', 'Fun Kitchen', 'TRUE BLEU RESTO CAFE', ""Northam's Pizza.Pita"", 'Kabab Magic', 'Khai Khai', 'Cafe Madhura', 'Tharavadu', 'Burger King', 'Paratha Plaza', 'Bangalore Cafe', 'Shiv Shakthi', 'Subway', 'Saahib', 'Mak n Vak - Fyn', 'Charcoal Eats', 'Spice of Andhra', 'Tasty Treat', '#L-81 Cafe', 'The Tandoori Chai', 'Chaat Trail By Moti Mahal', 'Second Wife Cafe', 'South Tiffins', 'Petoo', 'Shree Mithai', 'Kaka-T-Cafe', 'KFC', 'Bihar Ki Shan', 'Kachori Kafe', 'Wow Vada Pav', 'California Burrito', 'Raghavendra Tiffin', ""McDonald's"", 'Moolehatti Donne Biryani Mane', 'Mirch', 'Udupi Palace']"
Quick Bites,Hennur,"[""Sanky's Burger House"", 'New Udupi Park Deluxe']"
Quick Bites,Hosur Road,['Litti Twist']
Quick Bites,"ITPL Main Road, Whitefield","['Pizza Hut', 'Burger King']"
Quick Bites,Indiranagar,"['Cafe Srinidhi', 'Big Mummy', 'Taco Bell', 'Five Star Chicken', 'Cup Chronicles Cafe', 'Srinidhi Sagar Food Line', 'Kitchen of Joy', 'Burger King', 'Paratha Plaza', 'Peace Restaurant', 'Sethji Home Made Food', 'Leon Grill', 'Five Star Cafe', 'Subway', 'Madurai Idly Shop', 'Dal Roti Sabji', 'Khan Saheb Grills and Rolls', 'Gundappa Donne Biryani', ""Chetty's Coffee"", 'Chillikum', 'The Chennai Express', 'Cita Pani', 'Donne Biriyani Mane', 'Sendhoor Coffee', ""Namdhari's Salad Bar"", 'KFC', 'New Punjabi Hotel', 'Punjabi Khazana', 'Pathaan Sir', ""McDonald's"", 'Yomama!!', 'Donne Biriyani House', 'Fullyfilled', 'Cheesy Juicy Burgers', 'Tayabbs', ""Kylie's""]"
Quick Bites,Infantry Road,['Nisarga Garden']
Quick Bites,JP Nagar,"['Faasos', 'Five Star Chicken', 'Momo Jojo', 'Chicken Man', 'Bhukkhad Baba', 'Chaatimes', 'I Cool', 'Mavalli Tiffin Room (MTR)', 'KFC', 'Sri Krishna Sagar', 'Cafe Bollywood', 'White Horse', 'Pizza Hut', 'Paratha Plaza', 'Adithya', 'Waah Biryani', 'Aramane Donne Briyani', 'SLV Restaurant', 'Meat And Eat', 'Pappu Chaiwalla', ""McDonald's"", 'Dakshin Cafe', 'Chaitanya Cafe', 'Kakal-Kai Ruchi', 'Grills & Rolls', 'Bikaner Jn', 'Sree Krishna Kafe']"
Quick Bites,Jalahalli,['Brahmins Food Corner']
Quick Bites,Jayanagar,"['Food Springs', 'Rajanna Military Hotel', 'Sri Venkateshwara Sweet Meat Stall', 'Pavithra Restaurant', 'Kabab Magic', ""Kedia's Fun Food"", 'Shree Venkateshwara North Karnataka Hotel', 'Pappu Da Dhaba', ""Sandwich Mama's And Frozen Monster"", 'Rajvardhan Foods', 'The Lassi Park', 'Wahab', 'MDP Coffee House', 'Hatti Kaapi', 'Vijayalakshmi Veg', 'SGS Non Veg - Gundu Pulav', 'Biriyani Mane', 'Kalpavriksha Upahara', 'Chef Master', 'Paratha Junction', 'Davangere Benna Dose Hotel', 'KFC', 'Maiyas', 'Brahmin Tiffins & Coffee', 'Upahara Darshini', ""McDonald's"", 'Halli Jonne Biriyani', 'SL Vadapav', 'The Krishna Grand Xpress', 'Bhavani Chats N Juice', 'Vakulaa Veg Restaurant', 'Ranganna Military Hotel', 'Pizza Stop', 'Vybhava']"
Quick Bites,Jeevan Bhima Nagar,"['Chandni Chowk 2 Bangalore', 'Spicy Corner', 'No More Hungry', 'Roti Shotti', 'Bhikaram Chandmal Bhujiawala', 'Snacks Joint', 'Taza Tawa', ""Johny's Kitchen"", 'Bharpur Aahar', 'Roll Er Dokaan', 'Red Kitchen']"
Quick Bites,Kaggadasapura,"['Namma Madurai', 'Coorg Diaries', 'Matka House']"
Quick Bites,Kalyan Nagar,"['Oye Hoye', 'Donne Biriyani Mane', 'Kesar Sweet Shop And Fast Food', 'Cafe 99 Kerala Mess', 'K.G.N Kabbab Corner', 'American Bites', 'Matru Sagar', 'Mavalli Tiffin Room (MTR)', 'Kanthari', 'The Filter Coffee', 'Food Magic Restaurant', ""Kapoor's Punjabi Rolls"", 'Leon Grill', 'Cafe Nukkad', 'The Juice Shop - Juicery And Kitchen', ""Brahmins' Thatte Idli"", 'Cake House - Story Cafe', 'Goli Vada Pav No. 1', 'Chaat Street', ""Chetty's Coffee"", 'Sikori']"
Quick Bites,Kammanahalli,"['Faasos', 'Just Shawarma', 'Pathaan Sir', ""McDonald's"", 'Eatapita', 'Anu Momos Chinese Kitchen', 'JS Food Court', 'KFC', 'Kaapikada', 'Cafe Beirut', 'Burger King']"
Quick Bites,Koramangala 1st Block,"['Chaiwala', 'Delhi Food Point', 'Udupi Upahara', 'Under The Hood', 'Ramji Chaiwale', 'Desi Flavours', 'Chowpatty', 'Aaharam']"
Quick Bites,Koramangala 3rd Block,['Sagar Fast Food']
Quick Bites,Koramangala 4th Block,"['Rollin', 'Petoo', ""La Pino'z Pizza"", 'Pizza Stop', 'Paratha Plaza']"
Quick Bites,Koramangala 5th Block,"['1000 B.C', 'Madeena Hotel', 'Just Shawarma', 'Sonar Bangala', 'Coffee Tea & More', 'Dosa Plaza', 'Kinpeetos', 'Pizza Hut', 'Juicy Momos', 'Paratha Plaza', 'Chaska Bun', 'Potato Bae', 'Leon Grill', 'Tibetan Kitchen', ""McDonald's"", 'Tapri By The Corner', 'Samosa Party', 'Momo Blues', 'Tall Blonde French', 'IDC Kitchen', 'Khawa Karpo']"
Quick Bites,Koramangala 6th Block,"['Kevins Kitchen', 'Taco Bell', 'The Breakfast Truck', 'Eat Street', 'TOKI Taco House', 'KFC', 'Kota Kachori', 'Mooch Marod', 'Happy Plate', 'Rolls & Co', 'Madurai Idly Shop', 'Mitran Da Junction', 'Indore Eat Restaurant', 'DeliToons', 'Rice and Rolls', 'Podi Idly', 'Delite Chaat House']"
Quick Bites,Koramangala 7th Block,"['Tenzin Kitchen', 'Laziz Pizza', 'Chai Chowk', 'KFC', 'Nutri Rich', 'Burger King', 'Udupi Grand', ""Friend's Cafe"", 'Pathaan Sir', ""Falafel's - The Lebanese Haus"", 'Meat And Eat', ""McDonald's"", 'Paisa Vasool', 'Yummy Biryani', 'Min Mini Punjabi Dhaba', 'Gundappa Donne Biryani', 'WOW! Momo', 'Tibbs Frankie', 'Ande Ka Funda']"
Quick Bites,Koramangala 8th Block,"['Faasos', 'Sagar Fast Food', 'Mountain Spice', 'Ghee Positive']"
Quick Bites,Kumaraswamy Layout,"['Mast Punjabi', 'Just Shawarma', ""Kataria's Pakwan"", 'Desi Dawat', 'Brundhavana Food Point', 'Kitchen Garden', 'Mr. Singh Da Dhaba', 'Roll N Rock']"
Quick Bites,Lavelle Road,"['Subway', 'Mathsya Darshini']"
Quick Bites,MG Road,"['The Bundle Co.', 'RR Catering', ""McDonald's"", 'Hotel Ajantha', ""Vasudev Adiga's""]"
Quick Bites,Magadi Road,['Al Sadique']
Quick Bites,Majestic,"['Hotel Annapoorna', 'Sangam Sweets', 'Mudde Madappa Mess']"
Quick Bites,Malleshwaram,"['Hotel Janatha', 'Karavali Lunch Home', 'Asha Food Camp', 'Holige Mane', 'Mumbai Spice', ""Falafel's - The Lebanese Haus"", 'Amrut', 'Veena Stores', 'Malleshwaram Dosa Corner', 'Temple Meals', ""Chetty's Corner"", 'Bhairaveshwara Military Hotel', 'Chaatimes', 'Veg By Nature', 'KFC', 'CTR', 'Pure & Natural', 'Sai Shakti', 'Surya Refreshments', 'New Krishna Bhavan', ""Sri Sai Ram's"", ""Sri Sairam's Chats and Juice"", 'By 2 Coffee', 'Halli Mane', ""Brahmin's Coffee Bar"", 'The Big Bellyz', 'Upsouth', 'Dhanalakshmi Grand']"
Quick Bites,Marathahalli,"['BITEBOX', 'Faasos', 'Thalassery Restaurant', 'Lassi Corner', ""Ammi's Biryani"", 'Kudil Kerala Kitchen', 'Namak Swad Anusaar', 'Aashish Foods', 'Deli Chats and Sweets', 'Pizza Hut', 'Udupi Grand Veg', 'Sai Foods', 'Leon Grill', 'Kaafi Desi', 'Dil Punjabi', 'Odisha Kitchen', 'Madurai Idly Shop', ""Decker's Lane"", 'The Grilled & Fried', 'HOMMS', 'Sardaar Ka Chulla', 'Petoo', 'Inhouse Burger', 'KFC', 'Bangaliana', 'Parrattha Ssinghh', '9D Foods', 'Aahar Vihar', 'Desi Bites', 'Madurai Idli Dosa Shop', 'Chatora', 'Samosa Singh', 'Zeeshan', 'Delhi Restaurant', 'TBC - The Breakfast Company', 'WOW! Momo', 'Ande Ka Funda']"
Quick Bites,Nagawara,"['Wok N Roll', 'Matsya Loka', ""McDonald's"", 'Kijiji - Chal Yaha Khate Hai', 'North Indian Bhukkads', 'Kitchen King', 'WOW! Momo', 'Marwari Basa', 'Meghana Biriyanis']"
Quick Bites,New BEL Road,"['Prashant Naati Corner', 'Just Shawarma', ""Totaram's Paranthas"", 'Mumbai Xpress', 'KFC', 'Eggstacy', 'Leon Grill', 'Delhi Mess', 'Subway', ""McDonald's"", 'Kusum Rolls', 'Roy Hotel & Restaurant', 'Snow Lion Tibet Kitchen', 'Fresh Veg', ""Chetty's Coffee"", 'Doner Bel', 'Shanthi Sagar', 'Pizza Stop']"
Quick Bites,Old Airport Road,"['Faasos', 'Srinidhi Sagar', 'Sri Udupi Park', 'Andhra Ruchulu', 'Gurukrupa Paratha House', 'Bhookha Sher', 'The Punjabi Bites', 'Zawaa Foods', 'Chatora Singh', 'KFC', 'Ramji Chaiwale', 'New Punjabi Hotel']"
Quick Bites,Old Madras Road,"['M.M.A Kababs Rolls & Biryani Center', 'WOW! Momo']"
Quick Bites,RT Nagar,"['Momo Shop', 'Vishnu Garden']"
Quick Bites,Race Course Road,['Hotel Janardhan']
Quick Bites,Rajajinagar,"['Hotel Aditya', 'Chick Inn', 'Break Hour', 'Masti Masala']"
Quick Bites,Residency Road,"['Faasos', 'RS Shiv Sagar Express', 'Sri Udupi Park', 'Rescafe', 'Masala Oota']"
Quick Bites,Richmond Road,"['Khazana Food Paradise', 'Siddappa Hotel']"
Quick Bites,Sahakara Nagar,['Cubbonpete Donne Biryani']
Quick Bites,Sanjay Nagar,"[""Brahmins' Thatte Idli"", 'Ginger', ""Rishi's Paratha Plaza""]"
Quick Bites,Sarjapur Road,"[""Zoey's"", 'Hyderabadi Biryani Hub', 'Just Shawarma', 'Ajwa Thalassery Biryani', 'Pepperwood', 'Just Yum', 'KFC', 'Kabab Magic', 'Chatori Tongue', 'Le Charcoal Xpress', 'Pizza Hut', 'Dhaba Shaba', 'Paratha Plaza', 'Burger King', 'The Flying Cup', 'Kabab Mandra', 'Sasu Maa Ki Rasoi', 'California Burrito', ""Dad's Cookhouse"", 'Madurai Idly Shop', 'Purani Dilli By Anand Sweets', 'Ice N Fries Cafe']"
Quick Bites,Seshadripuram,"['Bombay Vada Pav Corner', 'HVR Veg']"
Quick Bites,Shivajinagar,"[""Indy's Comfort Food""]"
Quick Bites,St. Marks Road,"['Leon Grill', 'SGS Non Veg - Gundu Pulav', 'KKR FOODIES', 'Northern Route', 'MTR 1924']"
Quick Bites,Thippasandra,"['Motis Kitchen', 'Faasos', 'Kabab Souq']"
Quick Bites,Ulsoor,"['Hatti Kaapi', 'Just Shawarma', ""McDonald's"", 'Mummy Dhaba', 'Banchharam', 'Tayabbs', 'Shanthi Sagar', 'Amritsari Kulcha Bite']"
Quick Bites,"Varthur Main Road, Whitefield",['Desi Khana']
Quick Bites,Vasanth Nagar,['Pai Vihar']
Quick Bites,Vijay Nagar,"[""Savji's Roll 'N' Biryani"", 'By 2 Coffee', 'Cafe Udupi Ruchi', 'Gowdru Hotel']"
Quick Bites,Whitefield,"['Kabab Mirchi', 'Faasos', 'U.P. Dhaba', ""Mother's Food"", 'The Wok Shop', 'Taishty', 'Abhiruchi Restaurant', 'Five Star Chicken', ""Ammi's Biryani"", 'Burger King', 'Udupi Grand', 'Dehati Murgee', 'Mooch Marod', 'Kaka Food Corner', 'Foodishq', 'NYS Kitchen', 'Khan Saheb Grills and Rolls', 'The Grilled & Fried', 'Windy- Taste Of Home', 'Temptation', 'Food Mood', 'Desi Doze', 'Sri Sai Palace', 'New Paratha Corner', ""Mc Donald's"", 'KFC', ""Kartik's Mithai Shoppe"", 'Kabab Mandra', 'Mothi Restaurant', 'nu.tree', 'Vegtaurant', 'Dilli Galli']"
Quick Bites,Wilson Garden,['Bharathi Refreshments']
Quick Bites,Yeshwantpur,"['Biriyani Paradise', 'Fish Corner', 'Bhavani Vada Pav', 'Priyadarshini Veg', 'Fishing Boat']"
"Quick Bites, Bakery",Brigade Road,['Munchies']
"Quick Bites, Bakery",Malleshwaram,['Maiyas']
"Quick Bites, Beverage Shop",HSR,"['Snakk That', 'Juicemaker']"
"Quick Bites, Beverage Shop",Whitefield,['nu.tree']
"Quick Bites, Cafe",Bannerghatta Road,['Brews N Bites']
"Quick Bites, Cafe",Whitefield,"[""Biggies Burger 'n' More""]"
"Quick Bites, Dessert Parlor",BTM,['Laddoos']
"Quick Bites, Dessert Parlor",Brigade Road,"[""Dunkin' Donuts""]"
"Quick Bites, Dessert Parlor",Brookefield,"[""Dunkin' Donuts""]"
"Quick Bites, Dessert Parlor",Electronic City,['Laddoos']
"Quick Bites, Dessert Parlor",HSR,['The Waffle Street']
"Quick Bites, Dessert Parlor",Jeevan Bhima Nagar,['Laddoos']
"Quick Bites, Dessert Parlor",Nagawara,"[""Dunkin' Donuts""]"
"Quick Bites, Food Court","ITPL Main Road, Whitefield",['Subway']
"Quick Bites, Food Court",Koramangala 5th Block,['Subway']
"Quick Bites, Food Court",Malleshwaram,['Subway']
"Quick Bites, Sweet Shop",BTM,['Laddoos']
"Quick Bites, Sweet Shop",Bellandur,['Laddoos']
"Quick Bites, Sweet Shop",Electronic City,['Laddoos']
"Quick Bites, Sweet Shop",Indiranagar,"[""Kartik's Mithai Shoppe""]"
"Quick Bites, Sweet Shop",Koramangala 7th Block,['Banchharam']
"Quick Bites, Sweet Shop",Marathahalli,['Banchharam']
"Quick Bites, Sweet Shop",Yeshwantpur,['New Agarwal Bhavan']
Sweet Shop,HSR,"['Sangam Sweets', 'Rusbury Fresh Sweets And Savouries']"
Sweet Shop,Jayanagar,['Anand Sweets and Savouries']
Sweet Shop,Koramangala 3rd Block,['Sangam Sweets']
Sweet Shop,Koramangala 5th Block,['Uday Sweets']
Sweet Shop,Koramangala 6th Block,['Uday Sweets']
Sweet Shop,Malleshwaram,['Asha Sweets Centre']
Sweet Shop,Old Airport Road,['Anand Sweets and Savouries']
"Sweet Shop, Quick Bites",BTM,"[""Gogula's Sweets & Chats""]"
"Sweet Shop, Quick Bites",Banaswadi,['Jai Mataji Farshan & Sweets']
"Sweet Shop, Quick Bites",Basavanagudi,['Sri Venkateshwara Sweet Meat Stall']
"Sweet Shop, Quick Bites",Basaveshwara Nagar,['Bansuri Sweets']
"Sweet Shop, Quick Bites",Indiranagar,"['KC Das - Sweet Paradise', 'Asha Sweets Center']"
"Sweet Shop, Quick Bites",Sarjapur Road,['Anand Sweets And Savouries']
